date,publication,quote_code,quote_name,unit,low,high,mean
2026-08-24,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,580.66,583.86,582.26
2026-08-24,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,400.91,403.11,402.01
2026-08-24,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,694.57,698.07,696.32
2026-08-24,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,726.09,730.09,728.09
2026-08-24,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,506.71,509.21,507.96
2026-08-24,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,644.91,647.91,646.41
2026-08-25,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,582.11,585.31,583.71
2026-08-25,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,401.20,403.40,402.30
2026-08-25,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,691.13,694.63,692.88
2026-08-25,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,723.67,727.67,725.67
2026-08-25,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,503.66,506.16,504.91
2026-08-25,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,641.77,644.77,643.27
2026-08-26,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,585.80,589.00,587.40
2026-08-26,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,401.41,403.61,402.51
2026-08-26,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,690.40,693.90,692.15
2026-08-26,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,721.27,725.27,723.27
2026-08-26,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,499.37,501.87,500.62
2026-08-26,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,643.13,646.13,644.63
2026-08-27,Argus,ARGUS_CIF_NWE_NAPHTHA,Argus CIF NWE Naphtha,USD/MT,588.34,591.54,589.94
2026-08-27,Argus,ARGUS_FOB_BLACK_SEA_FO_35,Argus FOB Black Sea Fuel Oil 3.5%,USD/MT,397.08,399.28,398.18
2026-08-27,Platts,PLATTS_CIF_NWE_ULSD_10PPM,Platts CIF NWE ULSD 10 ppm,USD/MT,692.71,696.21,694.46
2026-08-27,Platts,PLATTS_FOB_ARA_JET,Platts FOB ARA Jet A-1,USD/MT,721.14,725.14,723.14
2026-08-27,Platts,PLATTS_FOB_FUJ_VLSFO,Platts FOB Fujairah VLSFO 0.5%,USD/MT,503.43,505.93,504.68
2026-08-27,Platts,PLATTS_FOB_MED_ITALY_GASOIL_01,Platts FOB MED Italy Gasoil 0.1%,USD/MT,639.28,642.28,640.78
